Energy[keV], HPGe, LaBr3, Si(Li)
5812, 0.026996581648639065, 0.0029863367841875244, 0.02658045839772732
5813, 0.02699053138361843, 0.002985702242249101, 0.026580174912628242
5814, 0.026984483016134625, 0.0029850679355363603, 0.02657989150243858
5815, 0.0269784365412012, 0.0029844338633269437, 0.02657960816712542
5816, 0.026972391962961455, 0.002983800026082263, 0.02657932490665586
5817, 0.02696634927800072, 0.002983166423785787, 0.026579041720997024
5818, 0.026960308487516856, 0.0029825330560954502, 0.026578758610116045
5819, 0.026954269589568425, 0.0029818999229514935, 0.026578475573980086
5820, 0.02694823258241147, 0.0029812670238169576, 0.02657819261255633
5821, 0.026942197464891345, 0.002980634359348088, 0.026577909725811977
5822, 0.026936164236442087, 0.002980001928411743, 0.02657762691371425
5823, 0.026930132897477595, 0.0029793697319784496, 0.02657734417623039
5824, 0.026924103447137734, 0.0029787377690889657, 0.026577061513327654
5825, 0.02691807587731618, 0.0029781060398899246, 0.026576778924973326
5826, 0.026912050199005104, 0.002977474544484472, 0.026576496411134708
5827, 0.026906026402239415, 0.0029768432824774657, 0.026576213971779117
5828, 0.0269000044890996, 0.002976212253733921, 0.02657593160687391
5829, 0.02689398446185963, 0.0029755814584220353, 0.026575649316386427
5830, 0.026887966311542052, 0.002974950895508497, 0.02657536710028406
5831, 0.02688195004345533, 0.0029743205660600156, 0.026575084958534213
5832, 0.02687593565390764, 0.0029736904692491736, 0.026574802891104303
5833, 0.02686992314644378, 0.002973060605233467, 0.026574520897961768
5834, 0.02686391251502748, 0.0029724309739647676, 0.02657423897907408
5835, 0.026857903760760256, 0.0029718015750273647, 0.026573957134408705
5836, 0.026851896881127907, 0.0029711724078653494, 0.026573675363933156
5837, 0.02684589187820839, 0.0029705434737171714, 0.02657339366761495
5838, 0.02683988874860948, 0.0029699147714432107, 0.026573112045421628
5839, 0.026833887491675035, 0.00296928630109302, 0.026572830497320753
5840, 0.026827888105285184, 0.0029686580618304825, 0.026572549023279903
5841, 0.026821890591127155, 0.0029680300549040964, 0.026572267623266678
5842, 0.026815894946301207, 0.0029674022794237906, 0.026571986297248697
5843, 0.026809901171421093, 0.0029667747354284162, 0.0265717050451936
5844, 0.02680390926700217, 0.0029661474226761963, 0.026571423867069052
5845, 0.026797919225759796, 0.0029655203408715815, 0.026571142762842725
5846, 0.02679193105230665, 0.0029648934902369774, 0.026570861732482322
5847, 0.026785944742480774, 0.002964266870433801, 0.026570580775955564
5848, 0.02677996030215836, 0.0029636404817706217, 0.026570299893230186
5849, 0.026773977721625517, 0.0029630143235963484, 0.026570019084273946
5850, 0.02676799700549178, 0.0029623883959501406, 0.02656973834905462
5851, 0.026762018147165865, 0.002961762698515521, 0.02656945768754001
5852, 0.02675604115300801, 0.0029611372314071486, 0.026569177099697933
5853, 0.026750066016234746, 0.002960511994718009, 0.026568896585496223
5854, 0.026744092741451793, 0.002959886988261008, 0.02656861614490274
5855, 0.026738121321976803, 0.0029592622112462946, 0.026568335777885355
5856, 0.026732151756676363, 0.002958637663831834, 0.026568055484411966
5857, 0.026726184050154284, 0.002958013346605873, 0.026567775264450495
5858, 0.026720218199719377, 0.002957389258574565, 0.026567495117968864
5859, 0.02671425420452905, 0.0029567654003691234, 0.026567215044935037
5860, 0.026708292058882938, 0.0029561417709747743, 0.02656693504531698
5861, 0.026702331764079698, 0.002955518370915118, 0.026566655119082697
5862, 0.02669637332578694, 0.002954895200036039, 0.02656637526620019
5863, 0.026690416732674544, 0.0029542722579255763, 0.0265660954866375
5864, 0.026684461990604882, 0.0029536495443654976, 0.026565815780362673
5865, 0.02667850909767032, 0.002953027059739331, 0.02656553614734378
5866, 0.026672558054390446, 0.0029524048038072834, 0.026565256587548915
5867, 0.026666608851388784, 0.0029517827758035412, 0.02656497710094619
5868, 0.026660661498889064, 0.0029511609766055503, 0.026564697687503726
5869, 0.02665471598994202, 0.0029505394052974066, 0.026564418347189683
5870, 0.02664877232235468, 0.002949918062208824, 0.026564139079972217
5871, 0.026642830499363574, 0.0029492969467142826, 0.026563859885819528
5872, 0.02663689051867847, 0.002948676059433113, 0.026563580764699807
5873, 0.026630952379270344, 0.002948055399461146, 0.026563301716581295
5874, 0.026625016076623736, 0.0029474349668278145, 0.02656302274143224
5875, 0.026619081617072958, 0.0029468147621199573, 0.026562743839220887
5876, 0.026613148993294995, 0.00294619478447693, 0.02656246500991554
5877, 0.026607218207071907, 0.0029455750340567927, 0.026562186253484492
5878, 0.02660128925563543, 0.002944955510771023, 0.02656190756989607
5879, 0.02659536213641295, 0.002944336214209799, 0.026561628959118615
5880, 0.0265894368589253, 0.002943717144520485, 0.02656135042112049
5881, 0.026583513410054313, 0.0029430983010686838, 0.02656107195587007
5882, 0.026577591795450797, 0.0029424796847726765, 0.026560793563335752
5883, 0.026571672011770162, 0.002941861295040895, 0.026560515243485967
5884, 0.026565754059632945, 0.0029412431313143375, 0.026560236996289142
5885, 0.02655983793531073, 0.0029406251934837504, 0.02655995882171374
5886, 0.02655392364126067, 0.0029400074822848988, 0.026559680719728234
5887, 0.026548011172500663, 0.002939389996378369, 0.026559402690301118
5888, 0.026542100533419006, 0.002938772736617533, 0.02655912473340091
5889, 0.026536191718649425, 0.002938155702540274, 0.02655884684899614
5890, 0.026530284730840986, 0.002937538894122983, 0.02655856903705537
5891, 0.026524379564920465, 0.002936922311000137, 0.026558291297547155
5892, 0.02651847622073899, 0.0029363059532444553, 0.026558013630440098
5893, 0.02651257470364529, 0.0029356898207149656, 0.026557736035702807
5894, 0.02650667500432553, 0.002935073913334847, 0.026557458513303905
5895, 0.02650077712706757, 0.0029344582307390702, 0.026557181063212046
5896, 0.026494881067962165, 0.002933842772989812, 0.026556903685395893
5897, 0.026488986825994223, 0.0029332275399464114, 0.02655662637982413
5898, 0.026483094405737245, 0.0029326125317776907, 0.026556349146465465
5899, 0.026477203799430943, 0.00293199774789497, 0.026556071985288622
5900, 0.026471315007603587, 0.002931383187944647, 0.02655579489626234
5901, 0.026465428032226884, 0.002930768852671575, 0.02655551787935538
